(     x,      x,      x),
(     x,      x,      x),
(     x,      x,      x),
(     x,      x,      x),
( -1024,  -1024,   5120),
( -1024,  -1024,   7168),
( -1024,   1024,   5120),
( -1024,   1024,   7168),
(  1024,  -1024,   5120),
(  1024,  -1024,   7168),
(  1024,   1024,   5120),
(  1024,   1024,   7168),
(     0,  -1656,   5512),
( -1656,   -632,   6144),
(  -632,      0,   4488),
(     0,  -1656,   6776),
( -1656,    632,   6144),
(   632,      0,   4488),
(     0,   1656,   5512),
(  1656,   -632,   6144),
(  -632,      0,   7800),
(     0,   1656,   6776),
(  1656,    632,   6144),
(   632,      0,   7800),
(   632,      0,   7800),
(   632,      0,   7800),
(   632,      0,   7800),
